feature,importance,model,weight
comp_no_inv_data_count,47,D_lower_lr,0.25
prop_brand_bool,45,D_lower_lr,0.25
comp4_rate,45,D_lower_lr,0.25
srch_query_affinity_score_missing,41,D_lower_lr,0.25
comp6_rate,41,D_lower_lr,0.25
prop_id_mean_starrating,40,D_lower_lr,0.25
comp4_rate_percent_diff,37,D_lower_lr,0.25
comp7_inv,32,D_lower_lr,0.25
comp6_inv,31,D_lower_lr,0.25
search_is_weekend,28,D_lower_lr,0.25
high_review_score,27,D_lower_lr,0.25
comp_no_rate_data_count,25,D_lower_lr,0.25
comp5_rate_missing,22,D_lower_lr,0.25
comp4_inv,22,D_lower_lr,0.25
prop_dest_mean_review_score,22,D_lower_lr,0.25
comp3_inv_missing,19,D_lower_lr,0.25
comp_has_any_pct_data,19,D_lower_lr,0.25
comp5_inv_missing,18,D_lower_lr,0.25
comp1_rate_percent_diff,18,D_lower_lr,0.25
comp8_rate_missing,17,D_lower_lr,0.25
comp6_rate_percent_diff,16,D_lower_lr,0.25
srch_room_count,15,D_lower_lr,0.25
comp3_rate_percent_diff_missing,13,D_lower_lr,0.25
comp5_rate_percent_diff_missing,12,D_lower_lr,0.25
comp2_rate_percent_diff_missing,12,D_lower_lr,0.25
prop_review_score_is_zero,11,D_lower_lr,0.25
comp8_rate_percent_diff_missing,11,D_lower_lr,0.25
comp2_rate_missing,11,D_lower_lr,0.25
log_price_usd_capped,11,D_lower_lr,0.25
children_present,10,D_lower_lr,0.25
comp3_rate_missing,10,D_lower_lr,0.25
comp1_rate,8,D_lower_lr,0.25
last_minute_booking,7,D_lower_lr,0.25
comp7_rate_percent_diff_missing,7,D_lower_lr,0.25
comp_has_any_rate_data,7,D_lower_lr,0.25
comp1_inv,6,D_lower_lr,0.25
prop_dest_mean_starrating,6,D_lower_lr,0.25
comp6_inv_missing,5,D_lower_lr,0.25
log_price_usd_clipped,5,D_lower_lr,0.25
visitor_hist_starrating_missing,5,D_lower_lr,0.25
comp_has_any_inv_data,5,D_lower_lr,0.25
comp2_inv_missing,5,D_lower_lr,0.25
prop_review_score_missing,4,D_lower_lr,0.25
visitor_hist_adr_usd_missing,4,D_lower_lr,0.25
prop_id_mean_brand_bool,4,D_lower_lr,0.25
comp7_inv_missing,4,D_lower_lr,0.25
is_5_star,4,D_lower_lr,0.25
comp7_rate_missing,3,D_lower_lr,0.25
long_booking_window,2,D_lower_lr,0.25
comp8_inv_missing,2,D_lower_lr,0.25
multi_room,2,D_lower_lr,0.25
comp6_rate_missing,2,D_lower_lr,0.25
promotion_flag,1,D_lower_lr,0.25
comp1_rate_percent_diff_missing,1,D_lower_lr,0.25
comp4_rate_percent_diff_missing,1,D_lower_lr,0.25
prop_starrating_is_zero,1,D_lower_lr,0.25
long_stay,1,D_lower_lr,0.25
comp4_rate_missing,1,D_lower_lr,0.25
prop_id_std_review_score,0,D_lower_lr,0.25
price_below_10,0,D_lower_lr,0.25
comp1_inv_missing,0,D_lower_lr,0.25
star_diff_from_prop_mean,0,D_lower_lr,0.25
review_diff_from_prop_mean,0,D_lower_lr,0.25
prop_id_std_starrating,0,D_lower_lr,0.25
price_below_1,0,D_lower_lr,0.25
price_is_zero,0,D_lower_lr,0.25
comp6_rate_percent_diff_missing,0,D_lower_lr,0.25
comp4_inv_missing,0,D_lower_lr,0.25
prop_id_std_location_score1,0,D_lower_lr,0.25
comp1_rate_missing,0,D_lower_lr,0.25
