feature,importance,model,weight
is_4_star,122,A_new_best,0.5
promotion_x_star,116,A_new_best,0.5
prop_starrating,116,A_new_best,0.5
domestic_search,116,A_new_best,0.5
multiroom_x_review,99,A_new_best,0.5
comp2_inv,80,A_new_best,0.5
search_quarter,74,A_new_best,0.5
comp3_inv,73,A_new_best,0.5
comp8_inv,70,A_new_best,0.5
srch_query_affinity_score_missing,69,A_new_best,0.5
comp_unavailable_count,67,A_new_best,0.5
price_usd_clipped,62,A_new_best,0.5
prop_id_mean_review_score,58,A_new_best,0.5
comp7_rate,56,A_new_best,0.5
comp7_rate_percent_diff,52,A_new_best,0.5
orig_destination_distance_missing,49,A_new_best,0.5
log_price_usd,49,A_new_best,0.5
comp4_rate,38,A_new_best,0.5
comp_no_rate_data_count,36,A_new_best,0.5
location1_diff_from_prop_mean,35,A_new_best,0.5
comp6_rate_percent_diff,34,A_new_best,0.5
comp6_rate,31,A_new_best,0.5
comp4_rate_percent_diff,26,A_new_best,0.5
comp7_inv,25,A_new_best,0.5
comp6_inv,24,A_new_best,0.5
comp_no_inv_data_count,24,A_new_best,0.5
comp5_rate_percent_diff_missing,20,A_new_best,0.5
prop_brand_bool,19,A_new_best,0.5
comp_has_any_pct_data,18,A_new_best,0.5
comp3_rate_percent_diff_missing,17,A_new_best,0.5
high_review_score,16,A_new_best,0.5
comp8_rate_percent_diff_missing,15,A_new_best,0.5
comp4_inv,15,A_new_best,0.5
comp8_rate_missing,14,A_new_best,0.5
comp_has_any_rate_data,14,A_new_best,0.5
search_is_weekend,14,A_new_best,0.5
log_price_usd_capped,13,A_new_best,0.5
comp1_rate_percent_diff,13,A_new_best,0.5
prop_id_mean_starrating,12,A_new_best,0.5
visitor_hist_starrating_missing,12,A_new_best,0.5
srch_room_count,11,A_new_best,0.5
comp1_rate,10,A_new_best,0.5
comp3_inv_missing,9,A_new_best,0.5
comp2_rate_percent_diff_missing,9,A_new_best,0.5
comp7_inv_missing,9,A_new_best,0.5
prop_review_score_is_zero,8,A_new_best,0.5
comp5_inv_missing,7,A_new_best,0.5
prop_dest_mean_review_score,7,A_new_best,0.5
comp5_rate_missing,7,A_new_best,0.5
children_present,7,A_new_best,0.5
last_minute_booking,7,A_new_best,0.5
comp2_inv_missing,6,A_new_best,0.5
comp2_rate_missing,6,A_new_best,0.5
prop_id_mean_brand_bool,5,A_new_best,0.5
comp8_inv_missing,5,A_new_best,0.5
comp_has_any_inv_data,5,A_new_best,0.5
log_price_usd_clipped,5,A_new_best,0.5
comp7_rate_missing,4,A_new_best,0.5
comp3_rate_missing,4,A_new_best,0.5
prop_review_score_missing,4,A_new_best,0.5
is_5_star,3,A_new_best,0.5
comp4_rate_missing,2,A_new_best,0.5
visitor_hist_adr_usd_missing,2,A_new_best,0.5
prop_starrating_is_zero,2,A_new_best,0.5
comp6_rate_missing,2,A_new_best,0.5
comp7_rate_percent_diff_missing,2,A_new_best,0.5
long_stay,2,A_new_best,0.5
comp1_inv,1,A_new_best,0.5
comp6_rate_percent_diff_missing,1,A_new_best,0.5
comp1_inv_missing,1,A_new_best,0.5
prop_dest_mean_starrating,1,A_new_best,0.5
comp4_inv_missing,1,A_new_best,0.5
comp4_rate_percent_diff_missing,0,A_new_best,0.5
price_below_10,0,A_new_best,0.5
price_below_1,0,A_new_best,0.5
price_is_zero,0,A_new_best,0.5
multi_room,0,A_new_best,0.5
prop_id_std_location_score1,0,A_new_best,0.5
prop_id_std_review_score,0,A_new_best,0.5
promotion_flag,0,A_new_best,0.5
prop_id_std_starrating,0,A_new_best,0.5
comp6_inv_missing,0,A_new_best,0.5
star_diff_from_prop_mean,0,A_new_best,0.5
review_diff_from_prop_mean,0,A_new_best,0.5
comp1_rate_missing,0,A_new_best,0.5
comp1_rate_percent_diff_missing,0,A_new_best,0.5
long_booking_window,0,A_new_best,0.5
